VALUE_ID|COA_VALUE|CODE_DESC
311881|029318|"Department of Transport & Main Roads - Head Office"
311884|028487|"Dept of Education - Head Office"
311908|032475|"Devonfield Enterprises - Head Office"
311917|028382|"DHHS - Head Office"
311999|026571|"Downer - Head Office"
312023|026653|"DPG Services - Head Office"
312044|026900|"DR Stephen Morris - Head Office"
312050|027624|"Dr. Buchhotz - Head Office"
312118|024950|Ecowise
312133|026630|"Elders Rural - Head Office"
312151|026451|"Elg Recycling Processors - Head Office"
312157|026666|"Elgas Limited : Elgas"
312168|029027|"Ellison - Head Office"
312198|029104|"EMRC Head Office"
312230|027189|"Epic Energy - Head Office"
312271|031430|"Exedy Australia Pty Ltd - Head Office"
312280|032581|"Eximm - Head Office"
312317|028704|"Fawkner Property Pty Ltd - Head Office"
312323|026102|"FedEx Express Australia Pty Ltd - Head Office"
312366|032447|"Fiona Maree Ellis & Darren Noel Smith - Head Office"
312375|026441|"First Commercial - Head Office"
312396|028522|"First Response - Head Office"
312459|027108|"Forestry Corporation - Head Office"
312474|026573|"Forum Group - Head Office"
312524|026460|"Fulton Hogan - Head Office"
312652|026552|"Goodman Fielder Head Office"
312665|026532|"Gorman Kelly"
312693|026137|"Green Options Head Office"
312702|031425|"Griffin Property Services - Head office"
312715|032553|"GUEST GROUP - Head Office"
312732|026520|"GWA Head Office"
312741|026539|"GWF Head Office"
312758|026540|"Haileybury Head Office"
312773|032464|"Halson Nominees - Head Office"
312796|026836|"Hardware & General Head Office"
312805|026931|"Hartway Galvanizers - Head Office"
312848|026442|"Healthscope Head Office"
312892|032467|"Hillier Carter - Head Office"
312916|026525|"Holcim Head Office"
312949|027191|"Holmes Colleges - Head Office"
312970|032434|"Housing Industry Association - Head Office"
312983|027328|"Hume City Council - Head Office"
313012|026857|"Hunter New England - Head Office"
313044|024438|"Icon Clinical Research Pty Ltd - North Ryde"
313050|032429|"Iconic Property Services - Head Office"
313052|029657|"ICP Head Office"
313093|024451|"Indorama Ventures Oxides Australia Pty Limited"
313099|029157|"Industrial Galzanizers - Head Office"
313108|026784|"Inghams - Head Office"
313130|028303|"Instant Security - Head Office"
313133|026846|"Integrated Packaging Head office"
313145|031432|"Interchem Pty Ltd Head Office"
313151|027039|"Interflow - Head Office"
313166|028708|"Invocare - Head Office"
313181|026572|"Iplex Pipelines"
313202|027254|"Ireland?s Head Office"
313233|027165|"J J Richards & Sons - Head Office"
313270|032558|"Jb Security - Head Office"
314054|026783|"Jones Lang Lassale - Head Office : Strata Corporation HO"
314076|032414|"Karidis Corporation Limited - Head Office"
314084|032417|"Keema Automotive Group - Head Office"
314091|026428|"Kervale Head Office"
314180|024125|"Lentara Unitingcare - The Cooke Court Child Care Centre"
314245|027049|"M A Services - Head Office"
314255|027040|"M. Catholic Homes - Head Office"
314272|026930|"Mackay North State School - Head Office"
314278|026716|"Macs Australia"
314292|026517|"MAINFREIGHT GROUP"
314303|032412|"Maitland City Bowls - Head Office"
314305|032413|"Maitland City Council - Head Office"
314342|026120|"Marathon Head Office"
314344|029006|"Marendy Medical Service - Head Office"
314392|026408|"Master Private Head Office"
314395|016436|"Master Private Head Office : Mercy Health And Aged Care Inc"
314423|027332|"McCain Foods - Head Office"
314444|026436|"McGees - Head Office"
314464|026101|"McGees - Head Office : McGees Head Office"
314519|026354|"Melbourne Business School Head Office"
314572|026454|"Millennium Head Office"
314641|015955|"Nci Packaging"
314680|029243|"North Management - Head Office"
314690|032415|"Northern Territory Freight Services - Head Office"
314709|026109|"NT Government Head Office"
314784|026611|"Orora Head Office"
314794|028658|"Pace Property - Head Office"
314799|026645|"Pacific National Head Office"
314870|026557|"PFD Food Head Office"
314909|031067|"PMT Security Systems Head Office"
314913|032568|"Police Bank - Head Office"
314930|026438|"Porter Commercial Head Office"
314939|032452|"Powerlink Queensland - Head Office"
314959|026868|"Priceline Pharmacy - Head Office"
314997|026551|"Property Link Head Office"
315005|028642|"ProRealty Lty Ltd - Head Office"
315007|026443|MRS
315012|031422|"Macfarlane Generators P/L - Head office"
315023|032421|"Lactalis Australia Pty Ltd - Head Office"
315030|026804|"JK Williams - Head Office"
315038|027256|"JOHN HOLLAND HO"
315090|015591|"Jones Lang Lassale - Head Office : Oramel Pty Ltd"
315150|026117|"Joy Global Head Office"
315168|027152|"K&R FABRICATIONS HO"
315212|032418|"Kingswood Sports Club - Head Office"
315272|013758|"Komatsu Australia Head Office : Komatsu Australia"
315359|032419|"Lend Lease Engineering Pty Ltd - Head Office"
315361|031050|"Lend Lease Head Office"
315381|026807|"Linfox - Head Office"
315388|026521|"Lion Head Office"
315396|032420|"Liquid Terminals Australia Pty Ltd - Head Office"
315405|031265|"Liverpool City Council - Head office"
315448|028473|"LJ Hooker - Head Office"
315457|030081|"LJ Hooker - Head Office"
315547|032555|"Mercedes-Benz North Shore - Head Office"
315555|030077|"Metal Centre - Head Office"
315574|030062|"Milestone Property Management - Head Office"
315601|032408|"Monroe Australia Pty Ltd - Head Office"
315603|027065|"Montague Pty Ltd - Head Office : Swire"
315625|031408|"Moreland City Council - Head Office"
315664|026655|"Mount Barker Head Office"
315732|028434|"Naskam - Head Office"
315743|028643|"National Protective Services HO"
315759|026467|"Negotiators Head Office"
315810|032441|"Nitestar Security Group - Head Office"
315833|032416|"Northbourne CT Pty Ltd - Head Office"
315841|015802|"Northern Land Council"
315845|023690|"Northern Metropolitan Cemeteries Trust"
315894|026144|"Oaks Head Office"
315913|026562|"Office of Environment&Heritage Head Office"
315934|026424|"OneSteel Head Office"
315955|032489|"Opal Australia Head Office"
316034|028483|"Pacific Security - Head Office"
316064|026480|"Parkland Head Office"
316068|032463|"Parks & Wildlife Service - Head Office"
316082|032466|"Path Transit Pty Ltd - Head Office"
